"Name","Date.time","Maximum.Temperature","Minimum.Temperature","Temperature","Wind.Chill","Heat.Index","Precipitation","Snow.Depth","Wind.Speed","Wind.Gust","Visibility","Cloud.Cover","Relative.Humidity","Weather.Type","Conditions","Date"
"Plymouth, England, United Kingdom","04/24/2017",15.1,4.5,9.6,4,NA,0,NA,16.1,NA,13.9,69.1,80.79,"Mist, Precipitation In Vicinity, Rain, Fog, Rain Showers","Partially cloudy",2017-04-24
"Plymouth, England, United Kingdom","04/25/2017",12,2.6,7,0,NA,0,NA,26.2,32.2,15.9,43.6,58.69,"Precipitation In Vicinity, Rain, Rain Showers","Partially cloudy",2017-04-25
"Plymouth, England, United Kingdom","04/26/2017",11,1,6.1,-1,NA,0.01,NA,13.9,NA,19.3,60.6,66.24,"Precipitation In Vicinity, Rain","Rain, Partially cloudy",2017-04-26
"Plymouth, England, United Kingdom","04/27/2017",11.6,0.2,6.7,-1.2,NA,0,NA,15,NA,15.2,71,69.77,"Rain, Rain Showers","Partially cloudy",2017-04-27
"Plymouth, England, United Kingdom","04/28/2017",12.1,7.2,9.3,5.8,NA,0.99,NA,10.3,NA,14.6,94.3,81.14,"Rain, Light Drizzle/Rain, Rain Showers, Light Rain","Rain, Overcast",2017-04-28
"Plymouth, England, United Kingdom","04/29/2017",14,8,10.9,6.2,NA,0,NA,17.3,NA,16.3,64.3,73.21,"Rain","Partially cloudy",2017-04-29
"Plymouth, England, United Kingdom","04/30/2017",12.1,8.1,10,5.2,NA,17.94,NA,17.2,NA,6.4,86.1,88.45,"Mist, Precipitation In Vicinity, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Heavy Rain, Light Rain","Rain, Overcast",2017-04-30
"Plymouth, England, United Kingdom","05/01/2017",12.1,8.2,9.7,4.1,NA,12.02,NA,24,NA,9.5,74.6,93.01,"Drizzle, Mist, Light Drizzle, Precipitation In Vicinity, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Rain Showers, Fog, Heavy Rain, Light Rain, Smoke Or Haze","Rain, Partially cloudy",2017-05-01
"Plymouth, England, United Kingdom","05/02/2017",15.6,6.1,10.7,4.2,NA,0,NA,10.2,NA,9.3,42.6,82.9,"Mist, Fog","Partially cloudy",2017-05-02
"Plymouth, England, United Kingdom","05/03/2017",13.6,7.2,11,6.2,NA,0,NA,16.1,NA,11.1,61.9,69.64,"Mist, Smoke Or Haze","Partially cloudy",2017-05-03
"Plymouth, England, United Kingdom","05/04/2017",16.6,8.6,12,5.8,NA,0,NA,13.9,26.4,6.9,55.8,72.43,"Smoke Or Haze","Partially cloudy",2017-05-04
"Plymouth, England, United Kingdom","05/05/2017",14,9.1,11.2,5.8,NA,0,NA,24.2,38,9.2,78.9,74.12,"Rain, Rain Showers, Smoke Or Haze","Overcast",2017-05-05
"Plymouth, England, United Kingdom","05/06/2017",12.6,9.1,10.4,5.6,NA,0.4,NA,19.4,NA,4.3,89.3,84.99,"Mist, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Smoke Or Haze","Rain, Overcast",2017-05-06
"Plymouth, England, United Kingdom","05/07/2017",15,7.7,11.5,7,NA,0,NA,11.4,NA,4.3,69.1,87.9,"Mist, Fog, Smoke Or Haze","Partially cloudy",2017-05-07
"Plymouth, England, United Kingdom","05/08/2017",15.6,6.6,10.6,5.2,NA,0,NA,12.7,NA,6.4,34.1,82.35,"Mist, Fog, Smoke Or Haze","Partially cloudy",2017-05-08
"Plymouth, England, United Kingdom","05/09/2017",13.6,5.6,9.7,4.5,NA,0,NA,10.3,NA,7.5,62.1,75.97,"Mist, Smoke Or Haze","Partially cloudy",2017-05-09
"Plymouth, England, United Kingdom","05/10/2017",15.2,5.1,10.8,3.9,NA,0,NA,13.8,NA,7,37.6,70.94,"Mist, Smoke Or Haze","Partially cloudy",2017-05-10
"Plymouth, England, United Kingdom","05/11/2017",15.6,10.1,12.8,NA,NA,0.2,NA,13.8,NA,4.6,81,88.82,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Smoke Or Haze","Rain, Overcast",2017-05-11
"Plymouth, England, United Kingdom","05/12/2017",12.6,11,11.6,NA,NA,4.02,NA,20.7,NA,3.5,88.2,97.46,"Mist, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Fog, Rain Showers, Heavy Rain, Light Rain, Smoke Or Haze","Rain, Overcast",2017-05-12
"Plymouth, England, United Kingdom","05/13/2017",15.1,10.1,12.4,NA,NA,2.2,NA,24,NA,5.5,73,92.83,"Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Fog, Heavy Rain, Light Rain, Smoke Or Haze","Rain, Partially cloudy",2017-05-13
"Plymouth, England, United Kingdom","05/14/2017",15.6,9.6,12.5,6.9,NA,6.97,NA,15,NA,6.2,55.9,90.82,"Mist, Precipitation In Vicinity, Rain, Fog, Rain Showers, Smoke Or Haze","Rain, Partially cloudy",2017-05-14
"Plymouth, England, United Kingdom","05/15/2017",13.6,10.6,12.6,NA,NA,15.14,NA,26.3,NA,1.9,91.8,98.82,"Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Fog, Heavy Rain, Light Rain","Rain, Overcast",2017-05-15
"Plymouth, England, United Kingdom","05/16/2017",13.7,12.6,13.1,NA,NA,5.2,NA,22.9,NA,1.6,96.1,99.29,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Fog, Rain Showers, Light Rain","Rain, Overcast",2017-05-16
"Plymouth, England, United Kingdom","05/17/2017",12.6,9.5,11.6,8.2,NA,18.28,NA,13.8,NA,6.9,90,93.68,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Fog, Rain Showers, Light Rain","Rain, Overcast",2017-05-17
"Plymouth, England, United Kingdom","05/18/2017",16.1,5.6,10.8,5.8,NA,0.2,NA,14.9,NA,8.2,43.7,85.18,"Mist, Precipitation In Vicinity, Rain, Fog, Rain Showers","Rain, Partially cloudy",2017-05-18
"Plymouth, England, United Kingdom","05/19/2017",13.6,5.5,9.6,4.7,NA,0.61,NA,14.9,NA,12.4,55.9,88.39,"Light Drizzle, Precipitation In Vicinity, Rain, Fog, Rain Showers, Light Rain","Rain, Partially cloudy",2017-05-19
"Plymouth, England, United Kingdom","05/20/2017",15.1,6.2,11.1,5.3,NA,0.22,NA,21.8,NA,10.7,63.9,87.18,"Drizzle, Mist, Light Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Fog","Rain, Partially cloudy",2017-05-20
"Plymouth, England, United Kingdom","05/21/2017",16.1,10.6,13,NA,NA,0,NA,15.5,NA,12.2,70.2,81.07,"Mist, Fog","Partially cloudy",2017-05-21
"Plymouth, England, United Kingdom","05/22/2017",20.1,12,15.2,NA,NA,0,NA,15,NA,12.7,66.2,78.79,"Mist, Smoke Or Haze","Partially cloudy",2017-05-22
"Plymouth, England, United Kingdom","05/23/2017",17.5,11.6,14.3,NA,NA,0.21,NA,9.2,NA,6.6,96,94.07,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Fog, Smoke Or Haze","Rain, Overcast",2017-05-23
"Plymouth, England, United Kingdom","05/24/2017",18.2,12.7,15.6,NA,NA,0,NA,12.7,NA,11.7,81.7,84.84,"Mist, Fog, Smoke Or Haze","Overcast",2017-05-24
"Plymouth, England, United Kingdom","05/25/2017",22.1,13.1,17.5,NA,NA,0,NA,19.5,NA,11.8,8.8,72.22,"Mist, Fog, Smoke Or Haze","Clear",2017-05-25
"Plymouth, England, United Kingdom","05/26/2017",23.1,14.7,18.8,NA,NA,0,NA,19.5,33.3,12,75,68.52,"","Partially cloudy",2017-05-26
"Plymouth, England, United Kingdom","05/27/2017",18,12.2,14.9,NA,NA,1.09,NA,17.2,NA,5.8,68.5,90.95,"Lightning Without Thunder, Mist, Light Drizzle, Rain, Rain Showers, Fog, Smoke Or Haze","Rain, Partially cloudy",2017-05-27
"Plymouth, England, United Kingdom","05/28/2017",18.1,10.2,14.6,NA,NA,0,NA,13.8,NA,12.6,81.1,84.71,"Mist, Precipitation In Vicinity, Rain, Fog, Rain Showers, Light Rain","Overcast",2017-05-28
"Plymouth, England, United Kingdom","05/29/2017",18.1,13.6,14.9,NA,NA,0.99,NA,13.8,NA,4.2,84.2,94.21,"Drizzle, Mist, Light Drizzle, Rain, Rain Showers, Fog, Smoke Or Haze","Rain, Overcast",2017-05-29
"Plymouth, England, United Kingdom","05/30/2017",17.6,13,14.8,NA,NA,0,NA,13.8,NA,7.3,80,91.93,"Mist, Light Drizzle, Rain, Smoke Or Haze","Overcast",2017-05-30
"Plymouth, England, United Kingdom","05/31/2017",18.1,13.1,15.1,NA,NA,0.2,NA,11.4,NA,5.8,88.5,92.17,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Fog, Smoke Or Haze","Rain, Overcast",2017-05-31
"Plymouth, England, United Kingdom","06/01/2017",19.1,11.2,15.2,NA,NA,0,NA,11.4,NA,6.8,57.8,87.2,"Mist, Fog, Smoke Or Haze","Partially cloudy",2017-06-01
"Plymouth, England, United Kingdom","06/02/2017",16.1,12,13.8,NA,NA,0.41,NA,13.8,NA,6.6,84.2,93.82,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Fog, Rain Showers, Light Rain, Smoke Or Haze","Rain, Overcast",2017-06-02
"Plymouth, England, United Kingdom","06/03/2017",17.1,7.1,12.9,7.5,NA,0.02,NA,15,NA,9.5,40.6,82.16,"Mist, Precipitation In Vicinity, Rain, Rain Showers","Rain, Partially cloudy",2017-06-03
"Plymouth, England, United Kingdom","06/04/2017",17.1,9,13.2,NA,NA,6.96,NA,19.3,NA,8.4,59.3,86.28,"Precipitation In Vicinity, Rain, Rain Showers, Heavy Rain, Light Rain","Rain, Partially cloudy",2017-06-04
